Name,Survived,Boarded,MWC,Age,Adut_or_Chld,Sex,Paid,Class_Dept,Class
"DODD, Mr George Charles",Died,Belfast,Man,44,Adult,Male,,Victualling Crew,V
"DODDS, Mr Henry Watson",Died,Southampton,Man,27,Adult,Male,,Engineering Crew,E
"DODGE, Dr Washington",Survived,Southampton,Man,52,Adult,Male,81.8583333,1st Class Passenger,1
"DODGE, Master Washington",Survived,Southampton,Child,4,Child,Male,81.8583333,1st Class Passenger,1
"DODGE, Mrs Ruth",Survived,Southampton,Woman,34,Adult,Female,81.8583333,1st Class Passenger,1
"DOEL, Mr Frederick",Survived,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"DOLBY, Mr Joseph",Died,Belfast,Man,38,Adult,Male,,Victualling Crew,V
"DOLING, Miss Elsie",Survived,Southampton,Woman,18,Adult,Female,23,2nd Class Passenger,2
"DOLING, Mrs Ada Julia Elizabeth",Survived,Southampton,Woman,34,Adult,Female,23,2nd Class Passenger,2
"DONATI, Sig. Italo Francesco",Died,Southampton,Man,17,Adult,Male,,Restaurant Staff,R
"DONOGHUE, Mr Frank (?Thomas)",Died,Belfast,Man,35,Adult,Male,,Victualling Crew,V
"DONOHOE, Miss Bridget",Died,Queenstown,Woman,21,Adult,Female,7.75,3rd Class Passenger,3
"DOOLEY, Mr Patrick",Died,Queenstown,Man,38,Adult,Male,7.75,3rd Class Passenger,3
"DORE, Mr Albert James",Survived,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"DORKING, Mr Edward Arthur",Survived,Southampton,Man,18,Adult,Male,8.05,3rd Class Passenger,3
"DORNIER, Mr Louis Auguste",Died,Southampton,Man,20,Adult,Male,,Restaurant Staff,R
"DOUGHERTY, Mr William John",Died,Queenstown,Man,22,Adult,Male,8.45833333,3rd Class Passenger,3
"DOUGHTY, Mr Walter Thomas",Died,Southampton,Man,22,Adult,Male,,Victualling Crew,V
"DOUGLAS, Mr Walter Donald",Died,Cherbourg,Man,50,Adult,Male,106.425,1st Class Passenger,1
"DOUGLAS, Mrs Mahala",Survived,Cherbourg,Woman,48,Adult,Female,106.425,1st Class Passenger,1
"DOUGLAS, Mrs Mary Hlne",Survived,Cherbourg,Woman,27,Adult,Female,247.520833,1st Class Passenger,1
"DOUTON, Mr William Joseph",Died,Southampton,Man,55,Adult,Male,26,2nd Class Passenger,2
"DOWDELL, Miss Elizabeth",Survived,Southampton,Woman,31,Adult,Female,12.475,3rd Class Passenger,3
"DOYLE, Miss Elizabeth",Died,Queenstown,Woman,28,Adult,Female,7.75,3rd Class Passenger,3
"DOYLE, Mr Laurence",Died,Southampton,Man,27,Adult,Male,,Engineering Crew,E
"DRAZENOVIC, Mr Jozef",Died,Cherbourg,Man,33,Adult,Male,7.89583333,3rd Class Passenger,3
"DREW, Master Marshall Brines",Survived,Southampton,Child,8,Child,Male,32.5,2nd Class Passenger,2
"DREW, Mr James Vivian",Died,Southampton,Man,42,Adult,Male,32.5,2nd Class Passenger,2
"DREW, Mrs Lulu Thorne",Survived,Southampton,Woman,34,Adult,Female,32.5,2nd Class Passenger,2
"DROPKIN, Miss Jennie",Survived,Southampton,Woman,24,Adult,Female,8.05,3rd Class Passenger,3
"DUFF GORDON, Lucy Christiana, Lady",Survived,Cherbourg,Woman,48,Adult,Female,56.9291667,1st Class Passenger,1
"DUFF GORDON, Sir Cosmo Edmund",Survived,Cherbourg,Man,49,Adult,Male,39.6,1st Class Passenger,1
"DUFFY, Mr William Luke",Died,Belfast,Man,36,Adult,Male,,Engineering Crew,E
"DULLES, Mr William Crothers",Died,Cherbourg,Man,39,Adult,Male,29.7,1st Class Passenger,1
"DUNFORD, Mr William",Died,Southampton,Man,47,Adult,Male,,Victualling Crew,V
"DUQUEMIN, Mr Joseph Pierre",Survived,Southampton,Man,24,Adult,Male,7.55,3rd Class Passenger,3
"DURN I MON, Sra. Florentina",Survived,Cherbourg,Woman,30,Adult,Female,13.8583333,2nd Class Passenger,2
"DURAN Y MORE, Sra. Asuncion",Survived,Cherbourg,Woman,27,Adult,Female,13.8583333,2nd Class Passenger,2
"DURNIL, Mr James",Died,Southampton,Man,38,Adult,Male,,Engineering Crew,E
"DWAN, Mr Frank",Died,Queenstown,Man,65,Adult,Male,7.75,3rd Class Passenger,3
"DYER, Mr Henry Ryland",Died,Belfast,Man,24,Adult,Male,,Engineering Crew,E
"DYER, Mr William Henry",Died,Southampton,Man,31,Adult,Male,,Victualling Crew,V
"DYKER, Mr Adolf Fredrik",Died,Southampton,Man,23,Adult,Male,13.9,3rd Class Passenger,3
"DYKER, Mrs Anna Elisabeth Judith",Survived,Southampton,Woman,22,Adult,Female,13.9,3rd Class Passenger,3
"DYMOND, Mr Frank",Survived,Southampton,Man,40,Adult,Male,,Engineering Crew,E
"EAGLE, Mr Alfred James",Died,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"EARNSHAW, Mrs Olive",Survived,Cherbourg,Woman,23,Adult,Female,83.1583333,1st Class Passenger,1
"EASTMAN, Mr Charles",Died,Southampton,Man,44,Adult,Male,,Engineering Crew,E
"EDBROOKE, Mr Francis Samuel Jacob",Died,Southampton,Man,23,Adult,Male,,Victualling Crew,V
"EDE, Mr George Bulkeley",Died,Southampton,Man,22,Adult,Male,,Victualling Crew,V
"EDGE, Mr Frederick William",Died,Southampton,Man,39,Adult,Male,,Victualling Crew,V
"EDVARDSSON, Mr Gustaf Hjalmar",Died,Southampton,Man,18,Adult,Male,7.775,3rd Class Passenger,3
"EDWARDS, Mr Charles Essex",Died,Southampton,Man,39,Adult,Male,,Victualling Crew,V
"EGG, Mr William Henry",Died,Southampton,Man,47,Adult,Male,,Victualling Crew,V
"EITEMILLER, Mr George Floyd",Died,Southampton,Man,25,Adult,Male,13,2nd Class Passenger,2
"EKLUND, Mr Hans Linus",Died,Southampton,Man,16,Adult,Male,7.775,3rd Class Passenger,3
"EKSTRM, Mr Johan",Died,Southampton,Man,45,Adult,Male,6.975,3rd Class Passenger,3
"ELIAS NASRALLAH, Mr Tannous",Died,Cherbourg,Man,22,Adult,Male,7.22916667,3rd Class Passenger,3
"ELIAS, Mr Dibo",Died,Cherbourg,Man,29,Adult,Male,7.225,3rd Class Passenger,3
"ELIAS, Mr Joseph jr.",Died,Cherbourg,Man,15,Adult,Male,7.22916667,3rd Class Passenger,3
"ELLIOTT, Mr Everett Edward",Died,Southampton,Man,24,Adult,Male,,Engineering Crew,E
"ELLIS, Mr John Bertie",Survived,Southampton,Man,28,Adult,Male,,Victualling Crew,V
"ELSBURY, Mr William James",Died,Southampton,Man,47,Adult,Male,7.25,3rd Class Passenger,3
"EMANUEL, Miss Virginia Ethel",Survived,Southampton,Child,5,Child,Female,12.475,3rd Class Passenger,3
"ENANDER, Mr Ingvar",Died,Southampton,Man,21,Adult,Male,13,2nd Class Passenger,2
"ENDRES, Miss Caroline Louise",Survived,Cherbourg,Woman,39,Adult,Female,247.525,1st Class PassengerServant,1
"ENNIS, Mr Walter",Died,Southampton,Man,34,Adult,Male,,Victualling Crew,V
"ERVINE, Mr Albert George",Died,Belfast,Man,18,Adult,Male,,Engineering Crew,E
"ESTANISLAU, Mr Manuel Gonalves",Died,Southampton,Man,37,Adult,Male,7.05,3rd Class Passenger,3
"ETCHES, Mr Henry Samuel",Survived,Belfast,Man,43,Adult,Male,,Victualling Crew,V
"EUSTIS, Miss Elizabeth Mussey",Survived,Cherbourg,Woman,54,Adult,Female,78.2666667,1st Class Passenger,1
"EVANS, Miss Edith Corse",Died,Cherbourg,Woman,36,Adult,Female,31.6791667,1st Class Passenger,1
"EVANS, Mr Alfred Frank",Survived,Southampton,Man,25,Adult,Male,,Deck Crew,D
"EVANS, Mr Frank Oliver",Survived,Southampton,Man,27,Adult,Male,,Deck Crew,D
"EVANS, Mr George Richard",Died,Belfast,Man,27,Adult,Male,,Victualling Crew,V
"EVANS, Mr William Thomas",Died,Southampton,Man,33,Adult,Male,,Engineering Crew,E
"EVERETT, Mr Thomas James",Died,Southampton,Man,39,Adult,Male,15.1,3rd Class Passenger,3
"FAHLSTRM, Mr Arne Joma",Died,Southampton,Man,18,Adult,Male,13,2nd Class Passenger,2
"FAIRALL, Mr Henry Charles",Died,Belfast,Man,38,Adult,Male,,Victualling Crew,V
"FARDON, Mr Charles Richard",Died,Southampton,Man,45,Adult,Male,7.25,,3
"FARENDEN, Mr Ernest John",Died,Belfast,Man,22,Adult,Male,,Victualling Crew,V
"FARQUHARSON, Mr William Edward",Died,Belfast,Man,39,Adult,Male,,Engineering Crew,E
"FARRELL, Mr James Jim",Died,Queenstown,Man,25,Adult,Male,7.75,,3
"FARTHING, Mr John",Died,Southampton,Man,57,Adult,Male,221.779167,1st Class PassengerServant,1
"FAULKNER, Mr William Stephen",Survived,Belfast,Man,37,Adult,Male,,Victualling Crew,V
"FAUNTHORPE, Mr Harry Bartram",Died,Southampton,Man,41,Adult,Male,26,2nd Class Passenger,2
"FAY, Mr Thomas Joseph",Died,Southampton,Man,30,Adult,Male,,Engineering Crew,E
"FELLOWES, Mr Alfred James",Died,Belfast,Man,29,Adult,Male,,Victualling Crew,V
"FELTHAM, Mr George William",Died,Southampton,Man,36,Adult,Male,,Victualling Crew,V
"FERRARY, Mr Antonio",Died,Southampton,Man,34,Adult,Male,,Engineering Crew,E
"FERRIS, Mr W.",Died,Southampton,Man,38,Adult,Male,,Engineering Crew,E
"FEY, Sig. Carlo",Died,Southampton,Man,30,Adult,Male,,Restaurant Staff,R
"FILLBROOK, Mr Joseph Charles",Died,Southampton,Man,18,Adult,Male,10.5,2nd Class Passenger,2
"FINCH, Mr Harry",Died,Southampton,Man,18,Adult,Male,,Victualling Crew,V
"FINOLI, Mr Luigi",Survived,Southampton,Man,34,Adult,Male,7.05,3rd Class Passenger,3
"FIORAVANTE, Sig. Giuseppe Bertoldo",Died,Southampton,Man,23,Adult,Male,,Restaurant Staff,R
"FISCHER, Mr Eberhard Thelander",Died,Southampton,Man,18,Adult,Male,7.79583333,3rd Class Passenger,3
"FITZPATRICK, Mr Cecil William",Survived,Southampton,Man,21,Adult,Male,,Engineering Crew,E
"FITZPATRICK, Mr Hugh Joseph",Died,Belfast,Man,28,Adult,Male,,Engineering Crew,E
"FLARTY, Mr Edward",Survived,Southampton,Man,43,Adult,Male,,Engineering Crew,E
"FLEET, Mr Frederick",Survived,Belfast,Man,24,Adult,Male,,Deck Crew,D
"FLEGENHEIM, Mrs Antoinette",Survived,Cherbourg,Woman,48,Adult,Female,31.6833333,1st Class Passenger,1
"FLEMING, Miss Honora",Died,Queenstown,Woman,22,Adult,Female,7.75,3rd Class Passenger,3
"FLEMING, Miss Margaret",Survived,Cherbourg,Woman,42,Adult,Female,110.883333,1st Class PassengerServant,1
"FLETCHER, Mr Percy William",Died,Belfast,Man,26,Adult,Male,,Victualling Crew,V
"FLYNN, Mr James",Died,Queenstown,Man,28,Adult,Male,7.75,3rd Class Passenger,3
"FLYNN, Mr John",Died,Queenstown,Man,42,Adult,Male,6.95,3rd Class Passenger,3
"FLYNN, Mr John Irwin",Survived,Southampton,Man,36,Adult,Male,26.2875,1st Class Passenger,1
"FOLEY, Mr John",Survived,Belfast,Man,46,Adult,Male,,Deck Crew,D
"FOLEY, Mr Joseph",Died,Queenstown,Man,19,Adult,Male,7.87916667,3rd Class Passenger,3
"FOLEY, Mr Wilfred Cyril",Survived,Southampton,Man,22,Adult,Male,,Victualling Crew,V
"FOLEY, Mr William",Died,Queenstown,Man,20,Adult,Male,7.75,3rd Class Passenger,3
"FOO, Mr Choong",Survived,Southampton,Man,32,Adult,Male,56.4958333,3rd Class Passenger,3
"FORD, Miss Dollina Margaret",Died,Southampton,Woman,20,Adult,Female,34.375,3rd Class Passenger,3
"FORD, Miss Robina Maggie",Died,Southampton,Child,7,Child,Female,34.375,3rd Class Passenger,3
"FORD, Mr Arthur",Died,Southampton,Man,22,Adult,Male,8.05,3rd Class Passenger,3
"FORD, Mr Edward Watson",Died,Southampton,Man,18,Adult,Male,34.375,3rd Class Passenger,3
"FORD, Mr Ernest",Died,Southampton,Man,32,Adult,Male,,Victualling Crew,V
"FORD, Mr Francis",Died,Southampton,Man,37,Adult,Male,,Victualling Crew,V
"FORD, Mr H.",Died,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"FORD, Mr Thomas",Died,Southampton,Man,32,Adult,Male,,Engineering Crew,E
"FORD, Mr William Neal Thomas",Died,Southampton,Man,16,Adult,Male,34.375,3rd Class Passenger,3
"FORD, Mrs Margaret Ann Watson",Died,Southampton,Woman,48,Adult,Female,34.375,3rd Class Passenger,3
"FOREMAN, Mr Benjamin Laventall",Died,Southampton,Man,30,Adult,Male,27.75,1st Class Passenger,1
"FORTUNE, Miss Alice Elizabeth",Survived,Southampton,Woman,24,Adult,Female,263,1st Class Passenger,1
"FORTUNE, Miss Ethel Flora",Survived,Southampton,Woman,28,Adult,Female,263,1st Class Passenger,1
"FORTUNE, Miss Mabel Helen",Survived,Southampton,Woman,23,Adult,Female,263,1st Class Passenger,1
"FORTUNE, Mr Charles Alexander",Died,Southampton,Man,19,Adult,Male,263,1st Class Passenger,1
"FORTUNE, Mr Mark",Died,Southampton,Man,64,Adult,Male,263,1st Class Passenger,1
"FORTUNE, Mrs Mary",Survived,Southampton,Woman,60,Adult,Female,263,1st Class Passenger,1
"FORWARD, Mr James",Survived,Southampton,Man,27,Adult,Male,,Deck Crew,D
"FOSTER, Mr Albert C.",Died,Belfast,Man,37,Adult,Male,,Engineering Crew,E
"FOX, Mr Patrick",Died,Queenstown,Man,28,Adult,Male,7.75,3rd Class Passenger,3
"FOX, Mr Stanley Hubert",Died,Southampton,Man,38,Adult,Male,13,2nd Class Passenger,2
"FOX, Mr William Thomas",Died,Southampton,Man,27,Adult,Male,,Victualling Crew,V
"FRANCATELLI, Miss Laura Mabel",Survived,Cherbourg,Woman,31,Adult,Female,56.9291667,1st Class PassengerServant,1
"FRANKLIN, Mr Alan Vincent",Died,Southampton,Man,28,Adult,Male,,Victualling Crew,V
"FRANKLIN, Mr Thomas Parnham",Died,Southampton,Man,37,Adult,Male,26.55,1st Class Passenger,1
"FRASER, Mr J.",Died,Southampton,Man,30,Adult,Male,,Engineering Crew,E
"FRASER, Mr James",Died,Belfast,Man,29,Adult,Male,,Engineering Crew,E
"FRAUENTHAL, Dr Henry William",Survived,Southampton,Man,49,Adult,Male,133.65,1st Class Passenger,1
"FRAUENTHAL, Mr Isaac Gerald",Survived,Cherbourg,Man,43,Adult,Male,27.7208333,1st Class Passenger,1
"FRAUENTHAL, Mrs Clara",Survived,Southampton,Woman,42,Adult,Female,133.65,1st Class Passenger,1
"FREDERICKS, Mr Walter Francis",Survived,Southampton,Man,21,Adult,Male,,Engineering Crew,E
"FREEMAN, Mr Ernest Edward Samuel",Died,Belfast,Man,45,Adult,Male,,Victualling Crew,V
"FRLICHER-STEHLI, Mr Maximilian Josef",Survived,Cherbourg,Man,60,Adult,Male,79.2,1st Class Passenger,1
"FRLICHER-STEHLI, Mrs Margaretha Emerentia",Survived,Cherbourg,Woman,48,Adult,Female,79.2,1st Class Passenger,1
"FRLICHER, Miss Hedwig Margaritha",Survived,Cherbourg,Woman,22,Adult,Female,49.5,1st Class Passenger,1
"FROST, Mr Anthony Wood",Died,Belfast,Man,38,Adult,Male,0,2nd Class PassengerH&W Guarantee Group,2
"FRY, Mr Richard",Died,Southampton,Man,39,Adult,Male,0,,1
"FRYER, Mr Albert Ernest",Survived,Southampton,Man,29,Adult,Male,,Engineering Crew,E
"FUNK, Miss Annie Clemmer",Died,Southampton,Woman,38,Adult,Female,13,2nd Class Passenger,2
"FUTRELLE, Mr Jacques Heath",Died,Southampton,Man,37,Adult,Male,53.1,1st Class Passenger,1
"FUTRELLE, Mrs Lily May",Survived,Southampton,Woman,35,Adult,Female,53.1,1st Class Passenger,1
"FYNNEY, Mr Joseph J.",Died,Southampton,Man,35,Adult,Male,26,2nd Class Passenger,2
"GALE, Mr Harry",Died,Southampton,Man,38,Adult,Male,21,2nd Class Passenger,2
"GALE, Mr Shadrach",Died,Southampton,Man,33,Adult,Male,21,2nd Class Passenger,2
"GALLAGHER, Mr Martin",Died,Queenstown,Man,29,Adult,Male,7.74166667,3rd Class Passenger,3
"GARFIRTH, Mr John",Died,Southampton,Man,21,Adult,Male,14.5,3rd Class Passenger,3
"GARSIDE, Miss Ethel",Survived,Southampton,Woman,34,Adult,Female,13,2nd Class Passenger,2
"GASKELL, Mr Alfred",Died,Southampton,Man,16,Adult,Male,26,2nd Class Passenger,2
"GATTI, Sig. Gaspare Antonio Pietro",Died,Southampton,Man,37,Adult,Male,,Restaurant Staff,R
"GAVEY, Mr Laurence",Died,Southampton,Man,26,Adult,Male,10.5,2nd Class Passenger,2
"GEDDES, Mr Richard Charles",Died,Southampton,Man,31,Adult,Male,,Victualling Crew,V
"GEE, Mr Arthur H.",Died,Southampton,Man,47,Adult,Male,38.5,1st Class Passenger,1
"GEER, Mr Alfred Emest",Died,Southampton,Man,26,Adult,Male,,Engineering Crew,E
"GEORGE/JOSEPH, Mrs Shawneene",Survived,Cherbourg,Woman,38,Adult,Female,7.22916667,3rd Class Passenger,3
"GERIOS THAMAH, Mr Assaf",Died,Cherbourg,Man,21,Adult,Male,7.225,3rd Class Passenger,3
"GHEORGHEFF, Mr Stanio",Died,Cherbourg,Man,,Adult,Male,7.89583333,3rd Class Passenger,3
"GIBBONS, Mr Jacob William",Survived,Southampton,Man,36,Adult,Male,,Victualling Crew,V
"GIBSON, Miss Dorothy Winifred",Survived,Cherbourg,Woman,22,Adult,Female,59.4,1st Class Passenger,1
"GIBSON, Mrs Pauline Caroline",Survived,Cherbourg,Woman,44,Adult,Female,59.4,1st Class Passenger,1
"GIEGER, Miss Amalie",Survived,Southampton,Woman,35,Adult,Female,211.5,1st Class PassengerServant,1
"GIGLIO, Mr Victor Gaitan Andrea",Died,Cherbourg,Man,23,Adult,Male,79.2,1st Class PassengerServant,1
"GILARDINO, Sig. Vincenzo Pio",Died,Southampton,Man,31,Adult,Male,,Restaurant Staff,R
"GILBERT, Mr William",Died,Southampton,Man,47,Adult,Male,10.5,2nd Class Passenger,2
"GILES, Mr Edgar",Died,Southampton,Man,21,Adult,Male,11.5,2nd Class Passenger,2
"GILES, Mr Frederick Edward",Died,Southampton,Man,20,Adult,Male,11.5,2nd Class Passenger,2
"GILES, Mr John Robert",Died,Southampton,Man,32,Adult,Male,,Victualling Crew,V
"GILES, Mr Ralph",Died,Southampton,Man,24,Adult,Male,13.5,2nd Class Passenger,2
"GILINSKI, Mr Eliezer",Died,Southampton,Man,22,Adult,Male,8.05,3rd Class Passenger,3
"GILL, Mr John William",Died,Southampton,Man,24,Adult,Male,13,2nd Class Passenger,2
"GILL, Mr Joseph Stanley",Died,Belfast,Man,38,Adult,Male,,Victualling Crew,V
"GILL, Mr Patrick",Died,Southampton,Man,38,Adult,Male,,Victualling Crew,V
"GILLESPIE, Mr William Henry",Died,Southampton,Man,31,Adult,Male,13,2nd Class Passenger,2
"GILNAGH, Miss Mary Katherine",Survived,Queenstown,Woman,17,Adult,Female,7.73333333,3rd Class Passenger,3
"GIVARD, Mr Hans Kristensen",Died,Southampton,Man,30,Adult,Male,13,2nd Class Passenger,2
"GLYNN, Miss Mary Agatha",Survived,Queenstown,Woman,19,Adult,Female,7.75,3rd Class Passenger,3
"GODLEY, Mr George Auguste",Survived,Southampton,Man,38,Adult,Male,,Engineering Crew,E
"GODWIN, Mr Frederick Charles",Died,Southampton,Man,35,Adult,Male,,Engineering Crew,E
"GOLD, Mrs Jane Kate Coulson",Survived,Southampton,Woman,45,Adult,Female,,Victualling Crew,V
"GOLDENBERG, Mr Samuel L.",Survived,Cherbourg,Man,47,Adult,Male,89.1041667,1st Class Passenger,1
"GOLDENBERG, Mrs Nella",Survived,Cherbourg,Woman,40,Adult,Female,89.1041667,1st Class Passenger,1
"GOLDER, Mr M. W.",Died,Southampton,Man,32,Adult,Male,,Engineering Crew,E
"GOLDSCHMIDT, Mr George B.",Died,Cherbourg,Man,71,Adult,Male,34.6541667,1st Class Passenger,1
"GOLDSMITH, Master Frank John William",Survived,Southampton,Child,9,Child,Male,20.525,3rd Class Passenger,3
"GOLDSMITH, Mr Frank John",Died,Southampton,Man,33,Adult,Male,20.525,3rd Class Passenger,3
"GOLDSMITH, Mr Nathan",Died,Southampton,Man,41,Adult,Male,7.85,3rd Class Passenger,3
"GOLDSMITH, Mrs Emily Alice",Survived,Southampton,Woman,31,Adult,Female,20.525,3rd Class Passenger,3
"GOLLOP, Mr F.",Died,Southampton,Man,28,Adult,Male,,Victualling Crew,V
"GOODWIN, Master Harold Victor",Died,Southampton,Child,9,Child,Male,46.9,3rd Class Passenger,3
"GOODWIN, Master Sidney Leslie",Died,Southampton,Child,1,Child,Male,46.9,3rd Class Passenger,3
"GOODWIN, Master William Frederick",Died,Southampton,Child,11,Child,Male,46.9,3rd Class Passenger,3
"GOODWIN, Miss Jessie Allis",Died,Southampton,Child,10,Child,Female,46.9,3rd Class Passenger,3
"GOODWIN, Miss Lillian Amy",Died,Southampton,Woman,16,Adult,Female,46.9,3rd Class Passenger,3
"GOODWIN, Mr Charles Edward",Died,Southampton,Child,14,Child,Male,46.9,3rd Class Passenger,3
"GOODWIN, Mr Frederick Joseph",Died,Southampton,Man,42,Adult,Male,46.9,3rd Class Passenger,3
"GOODWIN, Mrs Augusta",Died,Southampton,Woman,43,Adult,Female,46.9,3rd Class Passenger,3
"GORDON, Mr J.",Died,Southampton,Man,29,Adult,Male,,Engineering Crew,E
"GOREE, Mr Frank",Died,Southampton,Man,40,Adult,Male,,Engineering Crew,E
"GOSHAWK, Mr Alfred James",Died,Belfast,Man,40,Adult,Male,,Victualling Crew,V
"GOSLING, Mr Bertram James",Died,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"GOSLING, Mr S.",Died,Southampton,Man,26,Adult,Male,,Engineering Crew,E
"GRACIE, Colonel Archibald",Survived,Southampton,Man,53,Adult,Male,28.5,1st Class Passenger,1
"GRADIDGE, Mr Ernest Edward",Died,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"GRAHAM, Miss Margaret Edith",Survived,Southampton,Woman,19,Adult,Female,153.4625,1st Class Passenger,1
"GRAHAM, Mr George Edward",Died,Southampton,Man,38,Adult,Male,30,1st Class Passenger,1
"GRAHAM, Mr Thomas G.",Survived,Belfast,Man,28,Adult,Male,,Engineering Crew,E
"GRAHAM, Mrs Edith",Survived,Southampton,Woman,59,Adult,Female,153.4625,1st Class Passenger,1
"GREEN, Mr George",Died,Southampton,Man,40,Adult,Male,8.05,3rd Class Passenger,3
"GREEN, Mr George",Died,Southampton,Man,20,Adult,Male,8.05,3rd Class Passenger,3
"GREENBERG, Mr Samuel",Died,Southampton,Man,52,Adult,Male,13,2nd Class Passenger,2
"GREENFIELD, Mr William Bertram",Survived,Cherbourg,Man,23,Adult,Male,63.3583333,1st Class Passenger,1
"GREENFIELD, Mrs Blanche",Survived,Cherbourg,Woman,45,Adult,Female,63.3583333,1st Class Passenger,1
"GREGORY, Mr David",Died,Southampton,Man,43,Adult,Male,,Engineering Crew,E
"GREGSON, Miss Mary",Survived,Southampton,Woman,45,Adult,Female,,Victualling Crew,V
"GRaNNESTAD, Mr Daniel Danielsen",Died,Southampton,Man,32,Adult,Male,8.3625,3rd Class Passenger,3
"GROSCLAUDE, Mr Gerald",Died,Southampton,Man,24,Adult,Male,,Restaurant Staff,R
"GUEST, Mr Robert",Died,Southampton,Man,23,Adult,Male,8.05,3rd Class Passenger,3
"GUGGENHEIM, Mr Benjamin",Died,Cherbourg,Man,46,Adult,Male,79.2,1st Class Passenger,1
"GUMERY, Mr George",Died,Southampton,Man,24,Adult,Male,,Engineering Crew,E
"GUNN, Mr Joseph Alfred",Died,Southampton,Man,28,Adult,Male,,Victualling Crew,V
"GUSTAFSSON, Mr Alfred Ossian",Died,Southampton,Man,19,Adult,Male,9.84583333,3rd Class Passenger,3
"GUSTAFSSON, Mr Anders Vilhelm",Died,Southampton,Man,37,Adult,Male,7.925,3rd Class Passenger,3
"GUSTAFSSON, Mr Johan Birger",Died,Southampton,Man,28,Adult,Male,7.925,3rd Class Passenger,3
"GUSTAFSSON, Mr Karl Gideon",Died,Southampton,Man,19,Adult,Male,7.775,3rd Class Passenger,3
"GUY, Mr Elgar John",Survived,Southampton,Man,28,Adult,Male,,Victualling Crew,V
"GWYNN, Mr William Logan",Died,Southampton,Man,37,Adult,Male,,Victualling CrewPostal Clerk,V
"HAAS, Miss Aloisia",Died,Southampton,Woman,24,Adult,Female,8.85,3rd Class Passenger,3
"HAGGAN, Mr John",Survived,Belfast,Man,35,Adult,Male,,Engineering Crew,E
"HAGLAND, Mr Ingvald Olai Olsen",Died,Southampton,Man,28,Adult,Male,6.96666667,3rd Class Passenger,3
"HAGLAND, Mr Konrad Mathias Reiersen",Died,Southampton,Man,19,Adult,Male,6.96666667,3rd Class Passenger,3
"HAINES, Mr Albert",Survived,Belfast,Man,31,Adult,Male,,Deck Crew,D
"HAKKARAINEN, Mr Pekka Pietari",Died,Southampton,Man,28,Adult,Male,15.85,3rd Class Passenger,3
"HAKKARAINEN, Mrs Elin Matilda",Survived,Southampton,Woman,24,Adult,Female,15.85,3rd Class Passenger,3
"HALE, Mr Reginald",Died,Southampton,Man,30,Adult,Male,13,2nd Class Passenger,2
"HALFORD, Mr Walter Stamford",Survived,Southampton,Man,22,Adult,Male,,,V
"HALL, Mr F. A. J.",Died,Southampton,Man,38,Adult,Male,,Victualling Crew,V
"HALL, Mr J.",Died,Southampton,Man,32,Adult,Male,,Engineering Crew,E
"HALLETT, Mr George Alexander",Died,Southampton,Man,22,Adult,Male,,Engineering Crew,E
"HaMaLaINEN, Master Viljo Unto Johannes",Survived,Southampton,Child,0.58,Child,Male,14.5,2nd Class Passenger,2
"HaMaLaINEN, Mrs Anna",Survived,Southampton,Woman,23,Adult,Female,14.5,2nd Class Passenger,2
"HAMBLYN, Mr Ernest William",Died,Southampton,Man,46,Adult,Male,,Victualling Crew,V
"HAMILTON, Mr Ernest",Died,Belfast,Man,25,Adult,Male,,Victualling Crew,V
"HAMPE, Mr Lon Jrome",Died,Southampton,Man,19,Adult,Male,9.5,3rd Class Passenger,3
"HANDS, Mr Bernard",Died,Southampton,Man,53,Adult,Male,,Engineering Crew,E
"HANNA, Mr Boulos",Died,Cherbourg,Man,18,Adult,Male,7.22916667,3rd Class Passenger,3
"HANNA, Mr Mansour",Died,Cherbourg,Man,35,Adult,Male,7.22916667,3rd Class Passenger,3
"HANNAH, Mr Borak (Hannah Assi Borah)",Survived,Cherbourg,Man,27,Adult,Male,7.22916667,,3
"HANNAM, Mr George",Died,Southampton,Man,29,Adult,Male,,Engineering Crew,E
"HANSEN, Mr Claus Peter",Died,Southampton,Man,41,Adult,Male,14.1083333,3rd Class Passenger,3
"HANSEN, Mr Henrik Juul",Died,Southampton,Man,26,Adult,Male,7.85416667,3rd Class Passenger,3
"HANSEN, Mr Henry Damsgaard",Died,Southampton,Man,21,Adult,Male,7.85416667,3rd Class Passenger,3
"HANSEN, Mrs Jennie Louise",Survived,Southampton,Woman,45,Adult,Female,14.1083333,3rd Class Passenger,3
"HARBECK, Mr William H.",Died,Southampton,Man,44,Adult,Male,13,2nd Class Passenger,2
"HARDER, Mr George Achilles",Survived,Cherbourg,Man,25,Adult,Male,55.4416667,1st Class Passenger,1
"HARDER, Mr William",Survived,Southampton,Man,39,Adult,Male,,Deck Crew,D
"HARDER, Mrs Dorothy",Survived,Cherbourg,Woman,21,Adult,Female,55.4416667,1st Class Passenger,1
"HARDING, Mr Alfred John",Died,Southampton,Man,20,Adult,Male,,Victualling Crew,V
